2026-06-04T08:42:39.457137Z  INFO internalvoice: log system initialized log_dir=logs
2026-06-04T08:42:39.872959Z DEBUG internalvoice::audio: Input: channels=2, sample_rate=44100, format=F32 | Output native rate: 44100
2026-06-04T08:42:40.048954Z  INFO internalvoice: InternalVoice starting
2026-06-04T08:42:41.262606Z  INFO internalvoice: Established Gemini Live duplex transport
2026-06-04T08:42:42.087988Z  INFO internalvoice: Gemini Live session ready
2026-06-04T08:42:43.518729Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:43.894482Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:44.446948Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:44.903164Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:45.311661Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:45.952138Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:46.511784Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:47.000793Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:47.697567Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:48.084468Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:48.703489Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:50.670607Z  INFO internalvoice: Received tool calls from Gemini count=1
2026-06-04T08:42:50.822332Z DEBUG internalvoice: Sending Gemini Live tool response payload payload={"toolResponse":{"functionResponses":[{"name":"get_system_diagnostics","id":"fc_2973201947180975643","response":{"cpu":{"cores":8,"load_percent":"6.2"},"disks":[{"available_gb":76,"mount":"/","name":"Macintosh HD","total_gb":233},{"available_gb":76,"mount":"/System/Volumes/Data","name":"Macintosh HD","total_gb":233}],"memory":{"percent":"70.4","total_mb":16384,"used_mb":11541},"uptime_seconds":664855}}]}}
2026-06-04T08:42:50.822485Z  INFO internalvoice: Received tool calls from Gemini count=1
2026-06-04T08:42:50.824438Z DEBUG internalvoice: Sending Gemini Live tool response payload payload={"toolResponse":{"functionResponses":[{"name":"check_network_status","id":"fc_2973201947180974352","response":{"hostname":"Supremes-MacBook-Pro.local","interfaces":[{"interface":"en1","received_kb":0,"transmitted_kb":0},{"interface":"en5","received_kb":117,"transmitted_kb":116},{"interface":"utun1","received_kb":0,"transmitted_kb":0},{"interface":"utun6","received_kb":0,"transmitted_kb":0},{"interface":"lo0","received_kb":101407,"transmitted_kb":101407},{"interface":"en2","received_kb":0,"transmitted_kb":0},{"interface":"en3","received_kb":0,"transmitted_kb":0},{"interface":"utun3","received_kb":0,"transmitted_kb":3378},{"interface":"gif0","received_kb":0,"transmitted_kb":0},{"interface":"en4","received_kb":0,"transmitted_kb":0},{"interface":"utun4","received_kb":91,"transmitted_kb":163},{"interface":"utun5","received_kb":10,"transmitted_kb":9},{"interface":"utun8","received_kb":0,"transmitted_kb":0},{"interface":"awdl0","received_kb":57102,"transmitted_kb":28593},{"interface":"utun2","received_kb":0,"transmitted_kb":0},{"interface":"llw0","received_kb":0,"transmitted_kb":0},{"interface":"bridge0","received_kb":0,"transmitted_kb":0},{"interface":"stf0","received_kb":0,"transmitted_kb":0},{"interface":"en0","received_kb":3671180,"transmitted_kb":411807},{"interface":"utun7","received_kb":0,"transmitted_kb":0},{"interface":"utun9","received_kb":2644014,"transmitted_kb":63655},{"interface":"utun0","received_kb":0,"transmitted_kb":0}]}}]}}
2026-06-04T08:42:50.824619Z  INFO internalvoice: Received tool calls from Gemini count=1
2026-06-04T08:42:50.902274Z DEBUG internalvoice: Sending Gemini Live tool response payload payload={"toolResponse":{"functionResponses":[{"name":"list_top_processes","id":"fc_2973201947180977157","response":{"processes":[{"cpu_usage":"18.6%","memory_mb":28,"name":"tccd","pid":"479"},{"cpu_usage":"18.3%","memory_mb":15,"name":"internalvoice","pid":"81919"},{"cpu_usage":"2.1%","memory_mb":393,"name":"claude","pid":"72654"},{"cpu_usage":"1.4%","memory_mb":122,"name":"Code Helper","pid":"70076"},{"cpu_usage":"0.9%","memory_mb":343,"name":"Code Helper (Renderer)","pid":"69645"}]}}]}}
2026-06-04T08:42:50.966256Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:51.740129Z DEBUG internalvoice: Received audio response from Gemini (4 bytes)
2026-06-04T08:42:51.778329Z DEBUG internalvoice: Received audio response from Gemini (9640 bytes)
2026-06-04T08:42:51.778480Z DEBUG internalvoice::audio: Enqueuing 6642 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:51.836932Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:51.837065Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:51.876610Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:51.876761Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:51.967532Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:51.967731Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.000373Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:52.000479Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.243651Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:52.244188Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.244834Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:42:52.245048Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.245119Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:52.245171Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:52.245277Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:52.245505Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
